Date,Open,High,Low,Close*,Adj. close**,Volume
02-Apr-18,216.55,216.8,210.1,211.25,211.25,"81,56,843"
03-Apr-18,210,211.7,204.45,207.95,207.95,"1,81,45,471"
04-Apr-18,208,210.1,200,200.8,200.8,"1,77,52,702"
05-Apr-18,206.7,214.95,206.15,214.15,214.15,"2,42,01,806"
06-Apr-18,210.05,215.95,210.05,214,214,"1,50,08,286"
09-Apr-18,214.65,223.5,214.65,221.35,221.35,"1,84,11,692"
10-Apr-18,230,232.85,228.5,230,230,"2,75,19,382"
11-Apr-18,235,236.5,231.1,234.2,234.2,"1,88,02,049"
12-Apr-18,233.95,235.6,231.05,232.6,232.6,"1,17,12,671"
13-Apr-18,235,238.5,234.6,237.8,237.8,"1,67,74,668"
16-Apr-18,237.2,240.7,235.55,239.45,239.45,"93,25,515"
17-Apr-18,241.5,246.8,238,239.4,239.4,"1,64,17,908"
18-Apr-18,239.7,244.75,236.05,242.8,242.8,"2,33,23,232"
19-Apr-18,250,267.8,249.1,264.75,264.75,"3,70,33,062"
20-Apr-18,255.95,263.5,254.25,262.1,262.1,"2,33,14,520"
23-Apr-18,263,264.95,254.3,255.6,255.6,"95,59,885"
24-Apr-18,239,239,231.1,236.75,236.75,"3,51,17,665"
25-Apr-18,234.75,236.4,230.1,232.05,232.05,"1,04,96,552"
26-Apr-18,233.25,238.7,231.45,234,234,"1,64,00,986"
27-Apr-18,236.75,237.95,234,234.95,234.95,"91,69,183"
30-Apr-18,236.2,238.35,232.35,235.65,235.65,"58,72,046"
02-May-18,235,235.75,226.2,228.05,228.05,"88,49,434"
03-May-18,229.05,234.5,227.6,231.55,231.55,"1,02,32,446"
04-May-18,231.4,232.8,227.05,231.35,231.35,"78,89,501"
07-May-18,234.25,239.15,232.4,237.85,237.85,"77,46,284"
08-May-18,237.8,239.85,232.8,238.7,238.7,"87,01,503"
09-May-18,241.3,248.35,236.85,238.15,238.15,"1,86,53,553"
10-May-18,240.25,242.9,236.8,241.3,241.3,"84,35,591"
11-May-18,242,243.3,238.6,242.7,242.7,"62,36,509"
14-May-18,243.2,244.7,239.75,242.1,242.1,"68,01,148"
15-May-18,241.4,248.25,239.7,243.9,243.9,"74,45,308"
16-May-18,243.25,247.6,237,239.75,239.75,"1,72,97,698"
17-May-18,240,240.8,228.6,233.05,233.05,"1,71,95,201"
18-May-18,232.05,235.45,230.6,231.5,231.5,"73,32,967"
21-May-18,232.25,234,224.35,228.25,228.25,"81,59,685"
